Dst Port,Protocol,Flow Duration,TotLen Fwd Pkts,Fwd Pkt Len Min,Bwd Pkt Len Max,Flow Byts/s,Flow Pkts/s,Fwd IAT Tot,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Bwd Seg Size Avg,Subflow Fwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Max,Idle Max
443,6,141385,553,0,1460,30597.30523,113.1661775,141385.0,0,192,152,63.65597482,49.51020264,1460,0,0,1,1,0,0,1,0,539.0,553,8192,119,4,20,0.0,0.0
49684,6,281,38,0,0,135231.3167,10676.15658,281.0,1,40,20,7117.437722,3558.718861,38,0,1,0,0,1,0,0,0,0.0,38,123,0,0,20,0.0,0.0
443,6,279824,1086,0,1460,41501.0864,92.91554692,279728.0,0,232,312,39.31042369,53.60512322,1460,0,0,1,1,0,0,1,1,701.8,1086,8192,1047,5,20,0.0,0.0
8080,6,16079,326,0,112,28297.77971,435.3504571,645.0,0,72,92,186.5787673,248.7716898,326,0,0,1,1,0,0,1,1,32.25,326,8192,219,1,20,0.0,0.0
8080,6,577,0,0,0,0.0,3466.204506,577.0,0,40,0,3466.204506,0.0,0,0,0,0,0,1,0,0,0,0.0,0,2052,-1,0,20,0.0,0.0
8080,6,10279,326,0,112,44265.00632,681.0000973,577.0,0,72,92,291.8571846,389.1429127,326,0,0,1,1,0,0,1,1,32.25,326,8192,219,1,20,0.0,0.0
8080,6,457,0,0,0,0.0,4376.367615,457.0,0,40,0,4376.367615,0.0,0,0,0,0,0,1,0,0,0,0.0,0,2052,-1,0,20,0.0,0.0
8080,6,10271,326,0,112,44299.48398,681.5305228,502.0,0,72,92,292.0845098,389.446013,326,0,0,1,1,0,0,1,1,32.25,326,8192,219,1,20,0.0,0.0
8080,6,465,0,0,0,0.0,4301.075269,465.0,0,40,0,4301.075269,0.0,0,0,0,0,0,1,0,0,0,0.0,0,2052,-1,0,20,0.0,0.0
8080,6,10291,326,0,112,44213.39034,680.2060052,531.0,0,72,92,291.5168594,388.6891459,326,0,0,1,1,0,0,1,1,32.25,326,8192,219,1,20,0.0,0.0
8080,6,495,0,0,0,0.0,4040.40404,495.0,0,40,0,4040.40404,0.0,0,0,0,0,0,1,0,0,0,0.0,0,2052,-1,0,20,0.0,0.0
8080,6,11013,326,0,112,41314.80977,635.612458,480.0,0,72,92,272.4053391,363.2071189,326,0,0,1,1,0,0,1,1,32.25,326,8192,219,1,20,0.0,0.0
8080,6,558,0,0,0,0.0,3584.229391,558.0,0,40,0,3584.229391,0.0,0,0,0,0,0,1,0,0,0,0.0,0,2052,-1,0,20,0.0,0.0
